Time,Count
2015-05-01,3
2015-05-02,2
2015-05-03,2
2015-05-04,3
2015-05-05,4
2015-05-06,2
2015-05-07,22
2015-05-08,23
2015-05-09,8
2015-05-10,3
2015-05-11,12
2015-05-12,5
2015-05-13,3
2015-05-14,4
2015-05-15,1
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,4
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,1
2015-05-24,0
2015-05-25,0
2015-05-26,1
2015-05-27,2
2015-05-28,1
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,1
2015-06-02,1
2015-06-03,1
2015-06-04,0
2015-06-05,2
2015-06-06,0
2015-06-07,1
2015-06-08,2
2015-06-09,2
2015-06-10,1
2015-06-11,1
2015-06-12,2
2015-06-13,0
2015-06-14,1
2015-06-15,0
2015-06-16,9
2015-06-17,3
2015-06-18,2
2015-06-19,4
2015-06-20,1
2015-06-21,0
2015-06-22,0
2015-06-23,2
2015-06-24,0
2015-06-25,2
2015-06-26,2
2015-06-27,2
2015-06-28,1
2015-06-29,0
2015-06-30,2
2015-07-01,4
2015-07-02,17
2015-07-03,21
2015-07-04,9
2015-07-05,0
2015-07-06,9
2015-07-07,13
2015-07-08,4
2015-07-09,7
2015-07-10,2
2015-07-11,5
2015-07-12,2
2015-07-13,4
2015-07-14,5
2015-07-15,4
2015-07-16,0
2015-07-17,0
2015-07-18,1
2015-07-19,1
2015-07-20,0
2015-07-21,3
2015-07-22,3
2015-07-23,4
2015-07-24,0
2015-07-25,1
2015-07-26,0
2015-07-27,1
2015-07-28,0
2015-07-29,1
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,4
2015-08-05,0
2015-08-06,1
2015-08-07,0
2015-08-08,0
2015-08-09,1
2015-08-10,1
2015-08-11,0
2015-08-12,2
2015-08-13,1
2015-08-14,3
2015-08-15,1
2015-08-16,1
2015-08-17,3
2015-08-18,1
2015-08-19,2
2015-08-20,1
2015-08-21,3
2015-08-22,0
2015-08-23,0
2015-08-24,1
2015-08-25,0
2015-08-26,0
2015-08-27,1
2015-08-28,1
2015-08-29,1
2015-08-30,0
2015-08-31,1
2015-09-01,1
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,6
2015-09-06,0
2015-09-07,1
2015-09-08,0
2015-09-09,0
2015-09-10,2
2015-09-11,0
2015-09-12,2
2015-09-13,0
2015-09-14,2
2015-09-15,5
2015-09-16,1
2015-09-17,14
2015-09-18,2
2015-09-19,0
2015-09-20,1
2015-09-21,0
2015-09-22,1
2015-09-23,3
2015-09-24,1
2015-09-25,0
2015-09-26,0
2015-09-27,1
2015-09-28,1
2015-09-29,1
2015-09-30,1
2015-10-01,1
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,1
2015-10-06,0
2015-10-07,0
2015-10-08,3
2015-10-09,4
2015-10-10,3
2015-10-11,1
2015-10-12,0
2015-10-13,0
2015-10-14,1
2015-10-15,1
2015-10-16,0
2015-10-17,2
2015-10-18,1
2015-10-19,1
2015-10-20,0
2015-10-21,0
2015-10-22,2
2015-10-23,1
2015-10-24,1
2015-10-25,1
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,1
2015-10-31,1
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,1
2015-11-06,1
2015-11-07,0
2015-11-08,0
2015-11-09,3
2015-11-10,0
2015-11-11,1
2015-11-12,9
2015-11-13,4
2015-11-14,2
2015-11-15,1
2015-11-16,2
2015-11-17,6
2015-11-18,0
2015-11-19,1
2015-11-20,2
2015-11-21,0
2015-11-22,1
2015-11-23,1
2015-11-24,2
2015-11-25,0
2015-11-26,0
2015-11-27,1
2015-11-28,0
2015-11-29,1
2015-11-30,2
2015-12-01,1
2015-12-02,2
2015-12-03,1
2015-12-04,3
2015-12-05,0
2015-12-06,1
2015-12-07,0
2015-12-08,1
2015-12-09,1
2015-12-10,0
2015-12-11,1
2015-12-12,0
2015-12-13,1
2015-12-14,0
2015-12-15,0
2015-12-16,1
2015-12-17,0
2015-12-18,1
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,0
2015-12-25,1
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,0
2015-12-30,2
2015-12-31,0
2016-01-01,0
2016-01-02,1
2016-01-03,2
2016-01-04,2
2016-01-05,2
2016-01-06,0
2016-01-07,5
2016-01-08,5
2016-01-09,0
2016-01-10,1
2016-01-11,0
2016-01-12,0
2016-01-13,1
2016-01-14,0
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,2
2016-01-22,0
2016-01-23,0
2016-01-24,1
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,1
2016-01-30,0
2016-01-31,0
2016-02-01,1
2016-02-02,0
2016-02-03,1
2016-02-04,0
2016-02-05,1
2016-02-06,2
2016-02-07,0
2016-02-08,2
2016-02-09,1
2016-02-10,0
2016-02-11,1
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,1
2016-02-16,2
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,1
2016-02-22,0
2016-02-23,0
2016-02-24,1
2016-02-25,0
2016-02-26,0
2016-02-27,1
2016-02-28,0
2016-02-29,0
2016-03-01,1
2016-03-02,0
2016-03-03,2
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-12,3
2016-03-13,1
2016-03-14,0
2016-03-15,13
2016-03-16,6
2016-03-17,3
2016-03-18,4
2016-03-19,3
2016-03-20,2
2016-03-21,5
2016-03-22,6
2016-03-23,2
2016-03-24,18
2016-03-25,7
2016-03-26,10
2016-03-27,7
2016-03-28,4
2016-03-29,3
2016-03-30,4
2016-03-31,3
2016-04-01,1
2016-04-02,1
2016-04-03,0
2016-04-04,2
2016-04-05,0
2016-04-06,1
2016-04-07,0
2016-04-08,0
2016-04-09,0
2016-04-10,1
2016-04-11,0
2016-04-12,1
2016-04-13,1
2016-04-14,1
2016-04-15,2
2016-04-16,1
2016-04-17,1
2016-04-18,0
2016-04-19,1
2016-04-20,1
2016-04-21,4
2016-04-22,2
2016-04-23,2
2016-04-24,4
2016-04-25,1
2016-04-26,9
2016-04-27,4
2016-04-28,2
2016-04-29,4
2016-04-30,2
2016-05-01,0
2016-05-02,1
2016-05-03,2
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-07,0
2016-05-08,0
2016-05-09,1
2016-05-10,0
2016-05-11,1
2016-05-12,0
2016-05-13,0
2016-05-14,1
2016-05-15,0
2016-05-16,0
2016-05-17,1
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,1
2016-05-22,1
2016-05-23,0
2016-05-24,3
2016-05-25,1
2016-05-26,1
2016-05-27,1
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,1
2016-06-01,2
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,1
2016-06-07,0
2016-06-08,0
2016-06-09,2
2016-06-10,0
2016-06-11,3
2016-06-12,2
2016-06-13,1
2016-06-14,0
2016-06-15,1
2016-06-16,1
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,1
2016-06-23,2
2016-06-24,0
2016-06-25,3
2016-06-26,1
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,1
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,2
2016-07-06,0
2016-07-07,2
2016-07-08,1
2016-07-09,0
2016-07-10,1
2016-07-11,9
2016-07-12,15
2016-07-13,3
2016-07-14,2
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,0
2016-07-20,3
2016-07-21,0
2016-07-22,0
2016-07-23,0
2016-07-24,1
2016-07-25,0
2016-07-26,0
2016-07-27,2
2016-07-28,0
2016-07-29,0
2016-07-30,2
2016-07-31,0
2016-08-01,0
2016-08-02,0
2016-08-03,3
2016-08-04,1
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,2
2016-08-10,1
2016-08-11,1
2016-08-12,1
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,2
2016-08-17,2
2016-08-18,0
2016-08-19,1
2016-08-20,1
2016-08-21,0
2016-08-22,0
2016-08-23,0
2016-08-24,0
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,2
2016-08-30,1
2016-08-31,0
2016-09-01,0
2016-09-02,0
2016-09-03,1
2016-09-04,0
2016-09-05,1
2016-09-06,1
2016-09-07,0
2016-09-08,2
2016-09-09,0
2016-09-10,0
2016-09-11,0
2016-09-12,1
2016-09-13,0
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,1
2016-09-20,0
2016-09-21,0
2016-09-22,1
2016-09-23,1
2016-09-24,1
2016-09-25,0
2016-09-26,1
2016-09-27,2
2016-09-28,7
2016-09-29,6
2016-09-30,11
2016-10-01,1
2016-10-02,5
2016-10-03,6
2016-10-04,3
2016-10-05,0
2016-10-06,6
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,3
2016-10-12,0
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,1
2016-10-18,1
2016-10-19,0
2016-10-20,1
2016-10-21,2
2016-10-22,1
2016-10-23,2
2016-10-24,0
2016-10-25,0
2016-10-26,5
2016-10-27,2
2016-10-28,2
2016-10-29,2
2016-10-30,7
2016-10-31,2
2016-11-01,3
2016-11-02,1
2016-11-03,0
2016-11-04,1
2016-11-05,2
2016-11-06,2
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,2
2016-11-11,9
2016-11-12,1
2016-11-13,2
2016-11-14,0
2016-11-15,1
2016-11-16,0
2016-11-17,1
2016-11-18,0
2016-11-19,0
2016-11-20,0
2016-11-21,2
2016-11-22,0
2016-11-23,1
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,1
2016-11-29,2
2016-11-30,10
2016-12-01,1
2016-12-02,1
2016-12-03,2
2016-12-04,0
2016-12-05,3
2016-12-06,1
2016-12-07,3
2016-12-08,0
2016-12-09,5
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,2
2016-12-14,3
2016-12-15,0
2016-12-16,3
2016-12-17,0
2016-12-18,0
2016-12-19,1
2016-12-20,0
2016-12-21,4
2016-12-22,1
2016-12-23,0
2016-12-24,1
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,4
2016-12-30,2
2016-12-31,1
2017-01-01,2
2017-01-02,1
2017-01-03,2
2017-01-04,0
2017-01-05,0
2017-01-06,1
2017-01-07,1
2017-01-08,0
2017-01-09,3
2017-01-10,9
2017-01-11,7
2017-01-12,12
2017-01-13,4
2017-01-14,5
2017-01-15,1
2017-01-16,1
2017-01-17,2
2017-01-18,6
2017-01-19,7
2017-01-20,2
2017-01-21,5
2017-01-22,0
2017-01-23,1
2017-01-24,2
2017-01-25,6
2017-01-26,4
2017-01-27,6
2017-01-28,2
2017-01-29,1
2017-01-30,0
2017-01-31,2
2017-02-01,4
2017-02-02,2
2017-02-03,2
2017-02-04,1
2017-02-05,4
2017-02-06,2
2017-02-07,13
2017-02-08,7
2017-02-09,19
2017-02-10,1
2017-02-11,2
2017-02-12,3
2017-02-13,1
2017-02-14,2
2017-02-15,1
2017-02-16,2
2017-02-17,1
2017-02-18,12
2017-02-19,2
2017-02-20,1
2017-02-21,1
2017-02-22,2
2017-02-23,1
2017-02-24,2
2017-02-25,2
2017-02-26,1
2017-02-27,2
2017-02-28,2
2017-03-01,1
2017-03-02,2
2017-03-03,1
2017-03-04,0
2017-03-05,3
2017-03-06,0
2017-03-07,1
2017-03-08,1
2017-03-09,0
2017-03-10,1
2017-03-11,3
2017-03-12,2
2017-03-13,1
